 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
10,Anaheim Hills Pet Clinic,(714) 779-2101,5799 E La Palma Ave,Anaheim,92807,General Practice,"Monday: 7:30 AM – 4:00 PM
Tuesday: 7:30 AM – 9:00 PM
Wednesday: 7:30 AM – 9:00 PM
Thursday: 7:30 AM – 9:00 PM
Friday: 7:30 AM – 9:00 PM
Saturday: 7:30 AM – 9:00 PM
Sunday: 7:30 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"They also do not perform dental cleanings without anaesthesia
Their dental care is $700 + (additional costs depending on extraction
There is a hazardous wave fee of 7.99 for the Rabies Vaccine
",85 (Starting Price),15 (Exact),36 (Exact),35 (Exact),,,30 (Exact),56 (Exact),40 (Exact),,,780 - 1500,730 - 1200,700 (Exact),"All dental cleanings are done with anaesthesia
N/A",,,,160,130,,,
11,Anchor Animal Hospital,(714) 635-7762,1119 W Lincoln Ave,Anaheim,92805,General Practice,"Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The Rep was really helpful
The Vet tech fee is based on the vaccine the vet tech would administer as well as service rendered
I called back to get some clarification on the prices I was given last week and another rep (more experienced), clarified that they do not offer emergency services and they refer them out as well as the dental cleanings being 250 + (additional charges)",42,Varies (depending on vaccine and service),17.5 (Exact),20 (Exact),,,17 (Exact),22 (Exact),19.60 (Exact),,,290 (Exact),200 (Exact),285 (Exact),195 (Exact),,,,"They refer their emergency services out
N/A","42 (exam fee by appointment ) + (additional fees based on treatment)
15 (exam fee by appointment ) + (additional fees based on treatment)",,what is the difference between urgent care and emergency? Are spay/neuter/dental exact or starting?,
12,Animal Orthopedic Center,(714) 701-6720,446 N Lakeview Ave,Anaheim,92807,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Refused,Declined to Share,,,Front Desk,They stated that they do not answer any general questions regarding pet care including urgent/emergency care because they are an orthopedic hospital,,,,,,,,,,,,,,,,,,,,,,,
13,Better Health Animal Hospital,(714) 707-5108,100 S Fairmont Blvd,Anaheim,92808,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:30 PM – 5:00 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:30 PM – 5:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:30 PM – 5:00 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:30 PM – 5:00 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:30 PM – 5:00 PM
Sunday: 8:30 AM – 2:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"They also do not offer dental care without anaesthesia
They do not offer emergency or urgent care because they are a general practice
They sometimes offer dhpp and lepto together depending on what the client wants
",81 (Exact),31 (Exact),"35
(Exact)",41 (Exact),,,37.50 (Exact),58(Exact),48 (Exact),,,664 - 875,639 - 771,835 (Starting Price),"They do not offer dental care without ansesthesia
N/A",,,,"They don't offer emergency care
N/A","They don't offer urgent care
N/A",,,
14,Brookhurst Animal Medical Center,(714) 776-7387,1301 S Brookhurst St,Anaheim,92804,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Service,"All their vaccines have the same range from 40 - 60
For the dental. spay, neuter, emergency and urgent care visit costs they stated that it depends and I had to bring my pets to the hospital first before providing cost.
","60, 110 (walk in fee)",25.50,40-60,40-60,40-60,40-60,40-60,40-60,40-60,,,"N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price","N/A
Requires hospital visit to determine price",,,
15,CASE Animal Hospital,(657) 999-1150,1400 N Burton Pl,Anaheim,92806,General Practice,Monday: Open 24 hours,Called - Got Prices,,,No,Front Desk,"They are a strictly emergency/urgency care hospital, Only got prices for emergency/urgency care
They do not have an oncology, cardiology or internal medicine department
The price for each specialty is all 195",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,165,165,,,
16,Cottage Pet Hospital,(714) 535-6714,900 E Broadway,Anaheim,92805,General Practice,"Monday: 10:00 AM – 6:00 PM
Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,,Yes,Customer Service,"There is an Osha fee of 13.80 included in the standard exam and vet tech fees
There are an appointment based hospital
Called back Friday 4/17 to clarify and they stated they do not offer dental services without anaesthesia",75 (exam fee) + 13.80 (Osha fee) = 80.80 total fee,18.50 (vet tech fee) + 13.80 osha fee = 32.30 total fee,39.50 (Exact),51.50 (Exact),,,39.50 (Exact),68.50 (Exact),43.50 (Exact),,,596.10 (Exact),662.40 (Exact),1552 - 1700,"They do not offer dental care without ansesthesia
N/A",,,,"500 upfront + additional fees depending on the patient's situation (for pet's that need immediate attention)
198.50 (Emergency exam fee + additional fees depending on pet's situation) for regular emergencies","No Urgent Care
Appointment based",,emergency is $500?,
17,"Equine Veterinary Associates, Inc.",(714) 777-3942,1250 N Lakeview Ave Suite L,Anaheim,92807,General Practice,"Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 12:00 PM",Wrong Specialty,,,,Customer Service,They specialize in horses only,,,,,,,,,,,,,,,,,,,,,,,
18,Family Pet Clinic,(714) 282-1111,5557 E Santa Ana Canyon Rd #103,Anaheim,92807,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:30 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The rep was extremely helpful
They do not offer urgent or emergency care as they are not a 24 hours clinic
The Spay and Neuter services have two prices (price with blood work and without bloodwork)
Vet tech fee depends on the services to be provided by the vet tech (no flat fee)
All Dental cleanings are done with anaesthesia","59
(Exact)","Depending on service provided
N/A","23.8
(Exact)","29.5
(Exact)",,,"27
(Exact)","45.5
(Exact)","27
(Exact)",,,"766 (W Bloodwork)
577 (W/O Bloodwork)","563 (W Bloodwork)
374 (W/O Bloodwork)","673 (W Bloodwork)
484 (W/O Bloodwork)",N/A,,,,N/A,N/A,,,
19,Katella Animal Clinic,(714) 912-7966,10712 Katella Ave,Anaheim,92804,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,Call Back Later,Yes,Yes,Customer Service,"Called back today
The rep was super helpful
They are running a promotion where the first pet you bring gets examined for free
They charge OSHA fee together with the examination fee
Rep stated that they used to offer dental cleanings w/o anaesthesis but it's not really prioritized hence fee wasn't provided
They also do not offer urgent or emergency care citing focus on day to day care
","83 (Exact exam fee)
12 (OSHA fee)",26.35 (Exact fee),"32
(Exact fee)","46.70
(Exact fee)",,,"38
(Exact fee)","66.72
(Exact fee)","40
(Exact fee)",,,790 -855,684 -759,834 -1780,N/A,,,,"N/A
They don't offer this",N/A,,,
20,Sunrise Pet Hospital,(657) 221-6555,8285 E Santa Ana Canyon Rd #150,Anaheim,92808,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",Called - Got Prices,,Yes,Yes,Customer Service,"They do not offer emergency or urgent care
They do not have vet tech fees 
They do not administer Lepto and DHPP","82
(Exact)","They don'r have vet tech fees
N/A","39
(Exact)","They don't offer this
N/A",,,"39
(Exact)","63
(Exact)","They don't offer this
N/A",,,"550
(Exact)","490
(Exact)","500
(Start Price)","235
(Exact)",,,,"They do not offer this 
N/A","They do not offer this 
N/A",,,
21,The Animal Doctors of Anaheim,(714) 535-1141,1715 W La Palma Ave,Anaheim,92801,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,Customer Service,"The rep was extremely helpful
They also do not offer urgent and emergency care
The Dental with anaesthesia price depends on the level of extraction to be done
They only provided the price for dental cleaning",70,23,"20
(Exact)","30
(Exact)",,,"36
(Estimated price)",65 (Exact),"45
(Exact)",,,"660
(Start Price)","500
(Start Price)","Depends on the level of extraction
N/A","500 -650
(Dental cleaning price)",,,,"They do not offer this 
N/A","By appointment only
N/A",,,
22,University Veterinary Center,(714) 551-9911,1716 Glenoaks Ave,Anaheim,92801,General Practice,"Tuesday: 9:00 AM – 5:30 PM
Wednesday: 9:00 AM – 5:30 PM
Friday: 9:00 AM – 5:30 PM
Saturday: 9:00 AM – 5:30 PM",Called - Got Prices,,No,,,"They are closed today. Will call back on Monday
Called them back and they stated that they put a pause on accepting new clients at this time",,,,,,,,,,,,,,,,,,,,,,,
23,VCA Yorba Regional Animal Hospital,(714) 921-8700,8290 E Crystal Dr,Anaheim,92807,General Practice,Monday: Open 24 hours,Called - Got Prices,,Yes,Yes,Customer Service,"They only offer dental care services with anaesthesia
Their dental care with anaesthesia price varies depending on the work your pet needs
Urgent care prices varies depending on whether you are a new client as well as if the client comes in after 6pm
Spay and Neuter Prices are also dependent on the doctor",116 (Exact Price),"Varies
N/A","33
(Exact Price)",52 (Exact Price),,,"33
(Exact Price)","54
(Exact Price)","36
(Exact Price)",,,"Varies depending on doctor
N/A","Varies depending on doctor
N/A","Varies on your pet's needs
N/A","They don't offer this
N/A",,,,"116 Before 6pm
182 After 6pm
203 for new clients","116 Before 6pm
182 After 6pm
203 for new clients",,,
24,Veterinarian Group Anaheim,(657) 315-2424,524 E Julianna St,Anaheim,92801,General Practice,Monday: Open 24 hours,Wrong Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Angel's Touch Mobile Vet Services,(760) 447-5300,21779 Zuni Rd,Apple Valley,92307,General Practice,"Tuesday: 9:30 AM – 5:00 PM
Wednesday: 9:30 AM – 5:00 PM
Friday: 9:30 AM – 5:00 PM
Saturday: 9:30 AM – 5:00 PM",No Answer,,,,,"They are closed on weekends 
Will call back on monday
Called them thrice on monday but no answer",,,,,,,,,,,,,,,,,,,,,,,
26,Animal Care Hospital,(760) 247-0292,21554 Outer Hwy 18 N,Apple Valley,92307,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Service,"They are closed on weekends 
Will call back on monday
Called back they stated that they don't currently offer urgent care visits at the moment as they are fullly booked and they do not offer emergency care
All dental cleanings are done with anaesthesia
They also do not have vet tech fees as the vet tech doesn't charge a fee and the client only pays the cost of the vaccines adminstered by the vet tech","82
(Exact Price)","N/A
Vet tech does't charge a fee",29 (Exact Price),47.50 (Exact Price),,,34 (Exact Price),30.50 (exact price),41.50 (Exact Price),,,352 (Exact Price),293 (Exact Price),700 (Starting Price),"N/A
They don't offer this","N/A
They don't offer this","N/A
They don't offer this","N/A
They don't offer this","N/A
They don't offer this","N/A
They don't offer this they are fully booked atm",,,
27,Apple Valley Animal Hospital,(760) 242-5400,18107 CA-18,Apple Valley,92307,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Service,"Called three times and their waiting time was about 8 mins long for each time
Called back today and the rep stated that they don't charge vet tech fees.
They don't provide dental care without anaesthesis and don't have same day appointments available
Emergency care varies for accidents vs illness emergencies eg if the dog was hit by a car a deposit of 700 is to be made + additional costs depending on the dog's situation but sickness emergencies have to be checked by a doctor before a price is given but a 170 emergency exam fee is usually charged.
Dental services include x-ray and bloodwork but price varies",76 (Exact Price),"N/A
Vet tech does't charge a fee",35 (Exact Price),55 (Exact Price),,,47 (Exact price),52 Exact Price),32 (Exact Price),,,499 (Exact Price),476 (Exact Price),"Price Varies
N/A","N/A
They don't offer this",,,,"170 (Emergency exam fee - 
700 Deposit + (additional fees) for (accident emergencies)
Price varies (Illness emergency)","N/A
They do not have same day appointments available",,,
28,Bear Valley Animal Hospital,(760) 240-5228,20991 Bear Valley Rd,Apple Valley,92308,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"No dental services without anaesthesia
Dental care with anaesthesia depends on the stage of pet dental issues
vet tech fee depends on vaccine and services to be rendered
","75 
(With appointment)","varies
N/A","45
(Exact)","58
(Exact)",,,"42
(Exact)","56.75
(Exact)","55.25
(Exact)",,,"547
(Exact)","410
(Exact)","Varies 
(N/A)","N/A
They don't offer this",,,,800 (Deposit) + Additional fees depending on procedures,"125
(Starting fees)",,,
29,SoCal Equine Hospital- Apple Valley,(760) 247-4226,10083 Deep Creek Rd #8322,Apple Valley,92308,General Practice,"Tuesday: 9:00 AM – 5:30 PM
Wednesday: 9:00 AM – 5:30 PM
Thursday: 9:00 AM – 5:30 PM
Friday: 9:00 AM – 5:30 PM
Saturday: 9:00 AM – 5:30 PM",Wrong Specialty,,,,Customer Rep,"They are closed on weekends 
Will call back on monday
Called back today
They only speclailize in Horses",,,,,,,,,,,,,,,,,,,,,,,
30,St. Constantine & Hellen veterinary center,(760) 646-9007,18031 CA-18 Ste. A,Apple Valley,92307,General Practice,Monday: Open 24 hours,Called - Refused,Declined to Share,,,Customer Care rep,They stated I need to come in first before they could give me prices,,,,,,,,,,,,,,,,,,,,,,,
31,Arcadia Animal Hospital,(626) 447-2244,311 N Santa Anita Ave,Arcadia,91006,General Practice,"Tuesday: 8:00 AM – 6:30 PM
Wednesday: 8:00 AM – 6:30 PM
Thursday: 8:00 AM – 6:30 PM
Friday: 8:00 AM – 6:30 PM
Saturday: 8:00 AM – 6:30 PM
Sunday: 8:00 AM – 6:30 PM",Called - Got Prices,,Yes,Yes,Customer Care rep,"The rep was super helpful
Their standard exam fee is lower for the first pet you bring in
Bordetella prices are divided into injectables and oral
Their spay and neuter prices are dependent on the exams
They couldn't disclose their dentai care with anaesthesia prices over the phone
They do not conduct dental care without anaesthesia
","61.75 (for first pet you bring in)
86.75 (for other pets and appointments)","25
(Exact)","30 - 31
(Range)","47 - 48 ( with lepto package)
33 (without lepto)
",,,"35 (Oral)
48 (Injectable)",77.98 (Exact),31 (Exact),,,"Depending on the initial exam
N/A","Depending on the initial exam
N/A","Depending on the initial exam
N/A","They don't offer this 
N/A",,,,135 (Exact),110 (Starting Fees),,,
32,"Foothill Equine - Drs. Peralez, Brown, and Bennett",(626) 446-8911,1009 N Santa Anita Ave,Arcadia,91006,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Wrong Specialty,,Unknown,,Customer Care rep,They Specialize in Horses only,,,,,,,,,,,,,,,,,,,,,,,
33,Las Tunas Animal Hospital,(626) 446-7174,108 Las Tunas Dr,Arcadia,91007,General Practice,"Tuesday: 9:00 AM – 12:00 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 9:00 AM – 12:00 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 9:00 AM – 12:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 9:00 AM – 12:00 PM
Friday: 2:00 PM – 6:00 PM
Saturday: 9:00 AM – 12:00 PM
Saturday: 2:00 PM – 6:00 PM
Sunday: 9:00 AM – 11:00 AM",Called - Got Prices,,Yes,No,Customer Care rep,"They are closed 
Will call back on monday
Called back today the rep said that the doctor is currently available part time at the moment and because of this they do not offer emergency care, same day urgent care visits, spay, neuters and most surgeries
They also don't charge vet tech fees
They don't offer Lepto and Canine flu vaccinations
They also don't offer DHPP but they offer DA2PP which costs 35","79
(Exact Prices)","No vet tech fee
N/A","30
(Exact Prices)","They don't offer this 
N/A",,,35 (Exact Prices),"They don't offer this 
N/A","They don't offer this 
N/A",,,"They  don't offer this doctor currently works part time
N/A","They  don't offer this doctor currently works part time
N/A","They  don't offer this doctor currently works part time
N/A","They don't offer this
N/A",,,,"They  don't offer this doctor currently works part time
N/A","They  don't offer this doctor currently works part time
N/A",,,
34,Azusa Animal Hospital,(626) 598-8106,457 E Arrow Hwy Unit G,Azusa,91702,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 10:00 AM – 5:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 2:00 PM",Called - Got Prices,,Yes,Yes,Customer Care Rep,"They don't do urgent or emergency care visits
They also do not perform dental care without anaesthesia
There are no vet tech fees
First time pets get two doses of canine flu",60 (Exact),"No vet tech fee
N/A",40 (Exact),45 (Exact),,,42 (Exact),"110 (first time, 2 doses price)
55 (1 dose)",45 (Exact),,,1196 (Exact),1136 (Exact),"1200 - 2400
(Range)","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A",,,
