NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
10,Sexton Veterinary Clinic,(925) 855-8387,3162 Danville Blvd,Alamo,94507,General Practice,"Monday: 12:00 AM – 12:00 AM
Tuesday: 8:30 AM – 11:00 AM
Tuesday: 2:00 PM – 5:00 PM
Wednesday: 8:30 AM – 11:00 AM
Wednesday: 2:00 PM – 5:00 PM
Thursday: 8:30 AM – 11:00 AM
Thursday: 2:00 PM – 5:00 PM
Friday: 8:30 AM – 11:00 AM
Friday: 2:00 PM – 5:00 PM
Saturday: 8:30 AM – 11:00 AM
Saturday: 2:00 PM – 5:00 PM",Called - Refused,Call Back Later,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Albany Cat Clinic,(510) 229-0302,904 Stannage Ave,Albany,94706,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,No,Charlotte,,$125,No technician fee,Ranges from $55 - $110,Ranges from $55 - $110,,,Ranges from $55 - $110,Ranges from $55 - $110,Ranges from $55 - $110,,,$890,$380,ranges 1600 - 2200,,,,,$125,$125,,spay and nueter exact? does dental include xray/bloodwork? what is the difference between emergency and urgent care? does this vet have emergency visits?,
12,Codornices Veterinary Clinic: Gurley Erica DVM,(510) 524-3062,944 San Pablo Ave,Albany,94706,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,113 - 130 ,No technician fee,Ranges $43 - $50 ,Ranges $43 - $50 ,,,Ranges $43 - $50 ,Ranges $43 - $50 ,Ranges $43 - $50 ,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,,Appointments Only,Appointments Only,,,
13,Altadena Pet Hospital,(626) 798-0738,2071 Lake Ave,Altadena,91001,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,$79.50,No technician fee,$32.50,$46.50,,,$45.50,$44,$45.50,,,$900,$900 up,$900 up,,,,,$95,$95,,,
14,Vanderhoof Veterinary Hospital,(626) 798-5901,2235 Lake Ave #101,Altadena,91001,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,,,$82.50,No technician fee,$27,"$40 for combination vaccinne including bordetella, dog flu and lepto",,,,,,,,Estimate $501,$575,Range from $700 - $1100. Additional for blood work $200 to $300,,,,,Appointments Only,Appointments Only,,,
15,American Canyon Veterinary Hospital,(707) 644-2284,100 W American Canyon Rd Suite K9,American Canyon,94503,General Practice,"Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Heidi,,$84,No technician fee,$45,$40.50,,,$39.50,$71,$36.50,,,Starts at $1000,Starts at $567,Needs Consulation first before giving estimates,,,,,Appointments Only,Appointments Only,,,
16,"Anderson Veterinary Clinic, A Thrive Pet Healthcare Partner",(530) 365-8122,"1/2 Mile South of the Shasta District Fairgrounds, 3100 W Center St",Anderson,96007,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,$110,No technician fee,$50.80,$64.41,,,$55.88,$67.58,$55.88,,,$240- $300 for the blood work $500 for the spay,$425,Needs consultation first before giving estimates,,,,,Appointments Only,Appointments Only,,,
17,Crossroads Veterinary Clinic,(530) 365-3685,6563 Deschutes Rd,Anderson,96007,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,Call Back Later,Yes,,,Horse Clinic Only,,,,,,,,,,,,,,,,,,,,,,,
18,Haven Humane Society Adoption Center,(530) 241-1653,7449 Eastside Rd,Anderson,96007,General Practice,"Tuesday: 11:00 AM – 5:00 PM
Wednesday: 11:00 AM – 5:00 PM
Thursday: 11:00 AM – 5:00 PM
Friday: 11:00 AM – 5:00 PM
Saturday: 11:00 AM – 5:00 PM
Sunday: 11:00 AM – 5:00 PM",Called - Refused,Call Back Later,No,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Haven Humane Society Veterinary Hospital,(530) 241-1658,7449A Eastside Rd,Anderson,96007,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM",Called - Refused,Call Back Later,No,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VCA Gateway Animal Hospital,(530) 365-4521,2006 S Barney Rd,Anderson,96007,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,$106.70,,$43.95,$65.20 For DHPP Only $74.50 with Lepto vaccine included,,,$51.70,,,,,$458,$458,Needs consultation first before giving estimates,,,,,Appointments Only,Appointments Only,,,
21,Cherry Creek Veterinary Hospital,(916) 349-2755,7955 Watt Ave,Antelope,95843,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:30 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,$74,,$44.01,$44,,,$44.01,$44.01,$44.01,,,$800 - $1000,$500 - $700,,,,,,$149,$149,,,
22,Abbey Vet Hospital,(925) 778-1984,405 E 18th St,Antioch,94509,General Practice,"Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM",Called - Got Prices,,Yes,Yes,,,$60,,$37,$30,,,$30,$30,$30,,,$650 with bloodwork,$650 with bloodwork,$700,,,,,$110,$110,,,
23,Animal Clinic of Antioch,(925) 732-3666,2204 A St,Antioch,94509,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$72,,$50,$43,,,$45,$67,$47,,,Starts at $650 ,Starts at $480,Starts at $725,,,,,Appointments Only,Appointments Only,,,
24,Ark Pet Hospital,(925) 755-9426,2723 Hillcrest Ave,Antioch,94531,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,$85,,260 for the 5 in 1 Vaccine,260 for the 5 in 1 Vaccine,,,260 for the 5 in 1 Vaccine,260 for the 5 in 1 Vaccine,260 for the 5 in 1 Vaccine,,,Starts at $800,Starts at $800,Starts at $1200,,,,,$110,$110,,,
25,Companion Pet Hospital,(925) 757-2287,4365 Hillcrest Ave,Antioch,94531,General Practice,"Monday: 8:00 AM – 12:00 PM
Tuesday: 8:00 AM – 12:00 PM
Wednesday: 8:00 AM – 12:00 PM
Thursday: 8:00 AM – 12:00 PM
Friday: 8:00 AM – 12:00 PM
Saturday: 8:00 AM – 12:00 PM
Sunday: Closed",Called - Refused,Call Back Later,No,,,,,,,,,,,,,,,,,,,,,,,,,,
26,East Hills Veterinary Hospital,(925) 754-7960,2325 Buchanan Rd,Antioch,94509,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:30 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$80,,$34,$46,,,$37,$56.50,$46,,,Starts at $743 upto $1042 that includes bloodwork and a microchip ,Starts at $596 upto $895. - $895 includes bloodwork and microchip,starts at $1200,,,,,Appointments Only,Appointments Only,,,
27,Lone Tree Veterinary Hospital & Urgent Care,(925) 732-7499,4839 Lone Tree Wy Suite B,Antioch,94531,General Practice,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 9:00 AM – 8:00 PM",Called - Got Prices,,Yes,Yes,,,$70,,Ranges from $30 - $35 ,Ranges from $30 - $35 ,,,Ranges from $30 - $35 ,Ranges from $30 - $35 ,Ranges from $30 - $35 ,,,$774 microchip included.  -$75 if no microchip,$724 includes microchip. ,Starts at $700,Starts at $700,,,,$140,$140,,,
28,VCA Antioch Animal Hospital - Deer Valley,(925) 757-2800,5151 Deer Valley Rd,Antioch,94531,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,$94,,Around $52,Around $52,,,Around $52,Around $52,Around $52,,,Around $1000,Around $1000,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,Appointments Only,Appointments Only,,,
29,VCA East Bay Veterinary Emergency,(925) 754-5001,1312 Sunset Dr,Antioch,94509,General Practice,Monday: Open 24 hours,No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Del Mar Pet Hospital,(831) 688-2016,7525 Sunset Way,Aptos,95003,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",Called - Got Prices,,Yes,Yes,,,$78,,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,,,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,,,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,Appointments Only,Appointments Only,,,
31,Animal Surgical Group,(805) 474-1988,1562 W Branch St,Arroyo Grande,93420,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,$167,,Do not do Vaccines,Do not do Vaccines,,,Do not do Vaccines,Do not do Vaccines,Do not do Vaccines,,,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,Needs consultation first before giving estimates. it dependes on how old the dog is,,,,Appointments Only,Appointments Only,,,
32,Beach Cities Veterinary Hospital,(805) 419-9992,110 Courtland St #102,Arroyo Grande,93420,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",Called - Got Prices,,Yes,Yes,,,$88,,Between $30 - $40,Between $30 - $40,,,Between $30 - $40,Between $30 - $40,Between $30 - $40,,,Between $800 - $900,Between $700 - $800,Usually Starts at $1000,"Usually Starts at $1000
",,,,Appointments Only,Appointments Only,,,
33,Five Cities Veterinary Hospital and Urgent Care,(805) 481-5555,1558 W Branch St,Arroyo Grande,93420,General Practice,"Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,$80,,$32,$32,,,The receptionist does not have idea on how much it cost,The receptionist does not have idea on how much it cost,The receptionist does not have idea on how much it cost,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,$149,$149,,,
34,VCA Arroyo Grande Animal Hospital,(805) 481-9434,1199 E Grand Ave,Arroyo Grande,93420,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,$101.95,,$49.45,$40.95,,,$51.70,$49.45,$48.95,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,$102,$101.95,,,
35,VCA South County Animal Hospital,(805) 489-1361,205 El Camino Real,Arroyo Grande,93420,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,$120,No charge,around $80,around 80,,,around 80,around 80,around 80,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,Appointments Only,Appointments Only,,,
36,Veterinary Ophthalmology Services,(805) 473-3332,118 N Mason St,Arroyo Grande,93420,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",Called - Refused,Declined to Share,,,,Specialized Clinic,,,,,,,,,,,,,,,,,,,,,,,
37,Atascadero Pet Hospital & Emergency Center,(805) 466-3880,9575 El Camino Real,Atascadero,93422,General Practice,Monday: Open 24 hours,Called - Got Prices,,Yes,Yes,,,$129,Needs consultation first before giving estimates,$25,$35,,,$29,$45,$35,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,$180,$180,,,
38,Christensen Equine,(805) 549-9115,14360 Sandoval Rd,Atascadero,93422,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",Called - Refused,Declined to Share,,,,Horse Clinic only,,,,,,,,,,,,,,,,,,,,,,,
39,"Dr. Sharon Klintworth, DVM",(805) 461-3002,"8165 Morro Rd A, B, C, & D",Atascadero,93422,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$80,No technician fee,$28,$35 to 45,,,$30,$49.55,$30,,,$385,$350 to 450,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,Appointments Only,Appointments Only,,,
40,El Camino Veterinary Hospital: Leton Renee DVM,(805) 466-6677,1380 El Camino Real,Atascadero,93422,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM",Called - Got Prices,,Yes,Yes,,,$57,Needs consultation first before giving estimates,$21,$32,,,$33,$56,$32,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,$115,$115,,,
41,Atwater Veterinary Center,(209) 358-6000,2100 Bell Dr,Atwater,95301,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM",Called - Got Prices,,Yes,Yes,,,$78,Needs consultation first before giving estimates,$31,$31,,,$31,$37,$31,,,$292,$265,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,$180,120,,,
42,"Animal Clinic At Lake of the Pines, Inc.",(530) 268-1266,10868 Combie Rd ste 130,Auburn,95602,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,Call Back Later,Yes,Yes,,,EXACT $75,No technician fee,RANGES $26,EXACT $28,,,EXACT $32,EXACT $52,EXACT $28,,,RANGES $590 - $820,RANGES $594-$842,Needs consultation first before giving estimates,Needs consultation first before giving estimates,,,,EXACT $165,EXACT $101,,,
43,Animal Medical Center,(530) 823-5166,1525 Grass Valley Hwy,Auburn,95603,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: 7:30 AM – 5:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$79,No Vet Tech Fee,$35,$35,,,$35,$69,$38,,,800 includes blood work and medication,600 includes blood work and medication,Starts at 1500 includes bloodwork and laboratories and medication,don't do without anethesia ,,,,$175,$148,,,
44,Animal Spay & Neuter,(530) 889-8800,3524 KOA Way,Auburn,95602,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Auburn Equine,(530) 823-0162,1507 Grass Valley Hwy,Auburn,95603,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,Yes,Yes,,This is a Horse Veterinary,,,,,,,,,,,,,,,,,,,,,,,
46,Auburn Pet Clinic,(530) 888-7387,61 Flood Rd,Auburn,95603,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,$72,,$45,$50,,,$65,$75,$50,,,starts at $470 to $500,starts at $470 to $500,Start at $600 ,,,,,Appointments Only,Appointments Only,,,
47,Bowman Veterinary Hospital,(530) 823-6306,100 Old Airport Rd,Auburn,95603,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$74,,$37.14,$37.14,,,$37.14,$59.98,$37.14,,,$500 - $655,$492 - $633,$700 and $900,Needs consultation first before giving estimates,,,,Appointments Only,Appointments Only,,,
